scope,horizon,sample_mode,fold,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up
all,20,non_overlapping,1,logistic_time,3347,1.0,0.3614703284085074,0.3343993955764424,0.2931642001409443,0.3969465648854962,0.0348695899190187,0.0137284131259252,0.0224731497464453
all,20,non_overlapping,1,logistic_time_group,3347,1.0,0.3591215031808084,0.3356637960049456,0.2886819484240687,0.3845419847328244,0.0371732961835193,0.0091128355354665,0.0238733445319791
all,20,non_overlapping,1,logistic_time_group_ticker,3347,1.0,0.3757646140131743,0.3463753381613559,0.3118994826311899,0.4026717557251908,0.0344401909270556,0.010294258374191,0.0284533826167186
all,20,non_overlapping,1,majority_baseline,3347,1.0,0.3333333333333333,0.2227968967575094,0.0,0.0,,,0.0250899303314935
all,20,non_overlapping,1,ridge_current,3347,1.0,0.3318616063048107,0.3231771364614189,0.2979139504563233,0.4360687022900763,0.0235022187907978,0.0165145113240031,0.0284315319760954
all,20,non_overlapping,2,logistic_global,3731,1.0,0.3825044282360439,0.3519724278019052,0.3747553816046967,0.2781408859840232,0.0210882261786672,0.0157622117606052,0.0232975975340752
all,20,non_overlapping,2,logistic_group,3731,1.0,0.3845368774120605,0.358848007590497,0.3626062322946176,0.2788671023965142,0.0251643111648634,0.0141461681254891,0.021016755486698
all,20,non_overlapping,2,logistic_time,3731,1.0,0.3845357123306723,0.3453007737391593,0.3844515441959531,0.262164124909223,0.0131898191569054,0.0179076712280361,0.0273823863765174
all,20,non_overlapping,2,logistic_time_group,3731,1.0,0.3865846844791017,0.3530526730537013,0.3640973630831643,0.2607116920842411,0.0237740289389193,0.013691713751429,0.0232695038196828
all,20,non_overlapping,2,logistic_time_group_ticker,3731,1.0,0.3901510162607761,0.3515196721817998,0.3771144278606965,0.2752360203340595,0.025167092220391,0.0143315914279157,0.022159119053657
all,20,non_overlapping,2,majority_baseline,3731,1.0,0.3333333333333333,0.2087628865979381,0.0,0.0,,,0.019986047155711
all,20,non_overlapping,2,ridge_current,3731,1.0,0.3233335986541403,0.3191186235206277,0.3163737280296022,0.2483660130718954,0.0229311696257938,0.0188221162821507,0.0187704718621587
all,20,non_overlapping,3,logistic_global,3947,1.0,0.4227145346739445,0.3860999280362417,0.521978021978022,0.230722525804493,-0.0205213094281021,-0.0076318353700849,0.0314048791044842
all,20,non_overlapping,3,logistic_group,3947,1.0,0.4267594825368134,0.3926158920555336,0.5168539325842697,0.2513661202185792,-0.0188309654489735,-0.0032577306637909,0.029122017234819
all,20,non_overlapping,3,logistic_time,3947,1.0,0.4269542133743325,0.3848290029663647,0.5302826379542396,0.2392228293867638,-0.0100294220678017,-0.0040988748799756,0.0283053278386117
all,20,non_overlapping,3,logistic_time_group,3947,1.0,0.4308706780187636,0.3931470032763517,0.5211912943871707,0.2762598664238008,-0.0118255127237913,8.994765777132724e-05,0.0279843239622926
all,20,non_overlapping,3,logistic_time_group_ticker,3947,1.0,0.4238856398652646,0.3857414068889615,0.4938650306748466,0.2932604735883424,-0.0022086832500332,0.0003825325691923,0.0253940679689728
all,20,non_overlapping,3,majority_baseline,3947,1.0,0.3333333333333333,0.2014380009429514,0.0,0.0,,,0.0097019966120736
all,20,non_overlapping,3,ridge_current,3947,1.0,0.3553335272339941,0.3356572090330052,0.4231177094379639,0.2422586520947176,0.0002615143809587,0.0018963171961045,0.020435363447974
all,20,non_overlapping,4,logistic_global,4088,1.0,0.4058884659996664,0.3306625995514701,0.3909090909090909,0.3093525179856115,0.0501522100253224,0.0178336759238403,0.0361746190713756
all,20,non_overlapping,4,logistic_group,4088,1.0,0.4052938817016895,0.3413275177986723,0.384441087613293,0.3661870503597122,0.0506483243898782,0.0175503539407639,0.0265614231081929
all,20,non_overlapping,4,logistic_time,4088,1.0,0.4053199165440337,0.3241357402649262,0.4099378881987577,0.2848920863309352,0.0553107500451958,0.0190963362753662,0.0319325605104683
all,20,non_overlapping,4,logistic_time_group,4088,1.0,0.4068466986883523,0.3366028210224923,0.3967828418230563,0.3194244604316547,0.0554344355587342,0.0190128273507928,0.0243778597653235
all,20,non_overlapping,4,logistic_time_group_ticker,4088,1.0,0.4089041769317852,0.3428500186101988,0.3975903614457831,0.356115107913669,0.0496157672174371,0.0199521811504761,0.0254056973842378
all,20,non_overlapping,4,majority_baseline,4088,1.0,0.3333333333333333,0.2167932210850665,0.0,0.0,,,0.0301281533983886
