scope,horizon,sample_mode,fold,specification,sample_count,balanced_accuracy,macro_f1,down_precision,down_recall,down_coverage,mean_return_predicted_down,median_return_predicted_down,mean_mae_predicted_down
software,5,non_overlapping,4,ridge_current,6559,0.34892581710207043,0.2937909857941012,0.33963691376701965,0.18692756036636138,0.20155511510901053,0.010537849075631038,0.006217706238126897,-0.04237601482030975
software,5,non_overlapping,5,logistic_global,6913,0.4095247738456665,0.3741597561561121,0.451277609354699,0.3496644295302013,0.33400838998987414,0.006753607509584314,-0.0006557377049180024,-0.06663091235017879
software,5,non_overlapping,5,logistic_regime_prior,6913,0.425674078047561,0.3880023480176238,0.4809006835544833,0.40134228187919463,0.35975697960364533,0.002379343364715339,-0.00570570570570561,-0.06878169577536156
software,5,non_overlapping,5,majority_baseline,6913,0.3333333333333333,0.19682604410915147,0.0,0.0,0.0,,,
software,5,non_overlapping,5,ridge_current,6913,0.38404431533644484,0.2800118120352766,0.4532803180914513,0.07651006711409396,0.07276146390857804,-0.00150667555757622,-0.004085614976523044,-0.0556903279473339
other,5,overlapping,0,logistic_global,148430,0.39581793523082714,0.3263122510169099,0.40809997263522757,0.24389889335102033,0.22157919558040828,0.00932776255461715,0.004514106583072053,-0.05722947157626998
other,5,overlapping,0,logistic_regime_prior,148430,0.3957322869058524,0.3352176741131136,0.4138465012743169,0.2331049771946721,0.20883244627096947,0.008285207103669182,0.0038062788613506537,-0.05804903373541439
other,5,overlapping,0,majority_baseline,148430,0.3333333333333333,0.19986602636072873,0.0,0.0,0.0,,,
other,5,overlapping,0,ridge_current,148430,0.35207989307993987,0.32465610487214974,0.3618985663172117,0.26283367556468173,0.2692649733881291,0.003132935866828837,0.0026612430625909678,-0.03601305623532071
other,5,overlapping,1,logistic_global,27804,0.40270988478843267,0.3414702195156531,0.3968782279352691,0.3337193591970662,0.31337217666522804,0.00816176498455876,0.006793739414337363,-0.05606504803708401
other,5,overlapping,1,logistic_regime_prior,27804,0.4061787049675743,0.35195216168695925,0.4042940320232897,0.321656050955414,0.29650410012947775,0.005387839900806883,0.0049209040004321025,-0.05541175788692546
other,5,overlapping,1,majority_baseline,27804,0.3333333333333333,0.19950602348908716,0.0,0.0,0.0,,,
other,5,overlapping,1,ridge_current,27804,0.35334835148332333,0.3523010627909149,0.37044698264232395,0.397510133178923,0.39990648827506836,0.0009657928254820737,0.0017796831547494119,-0.03749500986426593
other,5,overlapping,2,logistic_global,28776,0.3862353034526902,0.3326438134185164,0.3682248351018067,0.2473273620340942,0.2423547400611621,0.013861401883880402,0.006805855772441638,-0.04975418938843277
other,5,overlapping,2,logistic_regime_prior,28776,0.3867587019405394,0.3424742115184807,0.38100147275405005,0.24915727631705673,0.23596052265777037,0.01230175457309264,0.005902908267562346,-0.05140160102811622
other,5,overlapping,2,majority_baseline,28776,0.3333333333333333,0.2001637364329775,0.0,0.0,0.0,,,
other,5,overlapping,2,ridge_current,28776,0.34209647558719763,0.33785195006177476,0.33990895295902884,0.3236058942502167,0.34351542952460384,0.007457607196561058,0.004989439106827254,-0.03508830836249429
