scope,horizon,regime,regime_version,regime_start,regime_end,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up,return_mae,rank_ic,sample_mode,accuracy,up_precision,up_recall,fold_win_rate_vs_ridge_current,comparable_fold_count
all,5,range_bound,market_regime_v1,2019-12-03,2026-07-14,ridge_current,32065,1.0,0.35400788593830074,0.32052816680694396,0.3201672862453532,0.17779115774987098,0.010586365082073565,0.006608074905256887,0.012847656427623005,0.05749786029045743,-0.0029249967581844905,overlapping,0.34536098549820676,0.48751183281147603,0.4391891891891892,,0
all,5,range_bound,market_regime_v1,2019-12-03,2026-07-14,ridge_decay_market,32065,1.0,0.3516263196109677,0.32957177050601144,0.3425542916235781,0.22793738173060382,0.008219603319171825,0.007867035562414424,0.012907713066301516,0.05893612111665617,0.008293913692541484,overlapping,0.3525339154841728,0.48807678110003694,0.43367882445552347,0.25,4
all,5,range_bound,market_regime_v1,2019-12-03,2026-07-14,ridge_decay_only,32065,1.0,0.3481266818208866,0.3270825323359524,0.3365971515768057,0.22767933941166352,0.008197213217906412,0.007826742708071677,0.012958551231857608,0.0591670028703996,0.006680719145567574,overlapping,0.3502261032278185,0.48698224852071004,0.43190763579113095,0.25,4
all,5,range_bound,market_regime_v1,2019-12-03,2026-07-14,ridge_decay_volume,32065,1.0,0.3540787583513647,0.3307916462829044,0.34446989087969826,0.21993806984345432,0.008235256798039013,0.007777285989952713,0.012869161707983785,0.0588939858640132,0.009202977036497957,overlapping,0.3551847809137689,0.4883687328420748,0.44345316189976386,0.75,4
all,5,under_pressure,market_regime_v1,2019-09-24,2026-07-17,logistic_decay_market,81558,1.0,0.3574058545242922,0.33346424394420476,0.4085348506401138,0.17504723593588103,0.009162080143232516,0.0017420261148903995,0.0011957764830278622,,,overlapping,0.4080531646190441,0.4250767638726313,0.7183361045811594,0.75,4
all,5,under_pressure,market_regime_v1,2019-09-24,2026-07-17,majority_baseline,81558,1.0,0.3333333333333333,0.19971372953166153,0.0,0.0,,,0.0026263805937776843,,,overlapping,0.4276956276514873,0.4276956276514873,1.0,0.25,4
all,5,under_pressure,market_regime_v1,2019-09-24,2026-07-17,ridge_current,81558,1.0,0.34386536427774256,0.30897118174338845,0.3781729824742801,0.22292314256110196,0.0033769802832343885,0.0024526392737586377,0.0023139754890630607,0.06151135081079693,-0.009876764898179829,overlapping,0.31392383334559454,0.439069976076555,0.3367352789404277,,0
all,5,under_pressure,market_regime_v1,2019-09-24,2026-07-17,ridge_decay_market,81558,1.0,0.3389311022499711,0.3106745460198204,0.36777510188958873,0.2420003656975681,0.005636151462808657,0.002053114597224962,0.0009420658565318392,0.06365771268714208,-0.030068542308744926,overlapping,0.3165354716888595,0.42974846648034554,0.3394300785505418,0.0,4
all,5,under_pressure,market_regime_v1,2019-09-24,2026-07-17,ridge_decay_only,81558,1.0,0.3400208422494058,0.3115604277472108,0.3705427844699333,0.23529591028219662,0.004678951026952168,0.0021921395830659936,0.001610554528650274,0.06367401476273934,-0.023140813810855275,overlapping,0.31821525785330684,0.43269980852421813,0.3498365919385356,0.0,4
all,5,under_pressure,market_regime_v1,2019-09-24,2026-07-17,ridge_decay_volume,81558,1.0,0.33801432641716334,0.30994874201606254,0.3665660552588809,0.24056805022246602,0.005759521228462018,0.001969073256153241,0.0009557047711557667,0.06362373854060213,-0.030329551949751697,overlapping,0.3159346722577797,0.42920177944952803,0.34020411673642564,0.0,4
