variant,horizon,fold,group,regime,sample_count,support_hold_rate,support_break_rate,first_bounce_delay,maximum_favorable_excursion,maximum_adverse_excursion,final_return,eligible_count,unavailable_count,max_adverse_excursion,sample_mode,regime_scope,comparison_scope
baseline,5,4,other,under_pressure,7518,0.5175578611332802,0.4824421388667199,1.7054237288135594,0.03302917160345207,-0.0355566899805821,-0.00405094574091084,151384,8303,-0.0355566899805821,overlapping,observed,all_eligible
baseline,5,4,other,uptrend,16392,0.5779648609077599,0.4220351390922401,1.7329334475864038,0.03510061009001258,-0.02927091438795566,0.005575873038783864,151384,8303,-0.02927091438795566,overlapping,observed,all_eligible
baseline,5,4,semiconductor,acute_selloff,46,0.782608695652174,0.21739130434782608,0.9487179487179487,0.08730258141546561,-0.03518890014012357,0.05333966474067382,73886,4936,-0.03518890014012357,overlapping,observed,all_eligible
baseline,5,4,semiconductor,correction,754,0.5503978779840849,0.4496021220159151,1.6300813008130082,0.06133253565606606,-0.049343121376518355,0.02319836389934809,73886,4936,-0.049343121376518355,overlapping,observed,all_eligible
baseline,5,4,semiconductor,range_bound,952,0.49264705882352944,0.5073529411764706,1.6257928118393234,0.047146452185060264,-0.050779542390374965,-0.007506439524419756,73886,4936,-0.050779542390374965,overlapping,observed,all_eligible
baseline,5,4,semiconductor,under_pressure,3935,0.4543837357052097,0.5456162642947904,1.3884439359267735,0.039834209649521814,-0.05057819658260491,-0.012356535198112412,73886,4936,-0.05057819658260491,overlapping,observed,all_eligible
baseline,5,4,semiconductor,uptrend,8128,0.5264517716535433,0.4735482283464567,1.424001867849638,0.051197892230902646,-0.041585154312689714,0.0067682105170522935,73886,4936,-0.041585154312689714,overlapping,observed,all_eligible
baseline,5,4,software,acute_selloff,105,0.8095238095238095,0.19047619047619047,1.4078947368421053,0.07450264269647315,-0.025735777510430807,0.04250200592836038,131931,8995,-0.025735777510430807,overlapping,observed,all_eligible
baseline,5,4,software,correction,1725,0.616231884057971,0.383768115942029,1.7796780684104627,0.05276484208434433,-0.03720848716833983,0.021649671952171032,131931,8995,-0.03720848716833983,overlapping,observed,all_eligible
baseline,5,4,software,range_bound,2096,0.6102099236641222,0.38979007633587787,1.7476923076923077,0.0412110162316695,-0.03502932897643799,0.003051968123531508,131931,8995,-0.03502932897643799,overlapping,observed,all_eligible
