scope,horizon,specification,sample_count,coverage,balanced_accuracy,macro_f1,down_precision,down_recall,mean_return_predicted_down,mean_return_predicted_neutral,mean_return_predicted_up,return_mae,rank_ic,sample_mode,accuracy,up_precision,up_recall,fold_win_rate_vs_ridge_current
software,20,ridge_current,7455,1.0,0.32986896295336277,0.3299390674465776,0.3645543175487465,0.37127659574468086,0.026244935045688103,0.01288047288526413,0.025979117138395475,0.20043690694819682,-0.0034768948017549588,non_overlapping,0.37813547954393023,0.457646718704828,0.45937318630296,
software,20,ridge_decay_market,7455,1.0,0.33675126673381284,0.3367080794313446,0.3746360401164672,0.4106382978723404,0.028845125066244807,0.017866592343217972,0.02160983463661391,0.22895374605218274,-0.011076723097321474,non_overlapping,0.3856472166331321,0.45597858417608567,0.4448636099825885,0.75
software,20,ridge_decay_only,7455,1.0,0.3309034522665026,0.33073433159461446,0.3700761337305528,0.3964539007092199,0.027949241924083424,0.01900273898499092,0.022212426417680873,0.22786118372601957,-0.013455157299515732,non_overlapping,0.3822937625754527,0.4548631333721607,0.4532791642484039,0.25
software,20,ridge_decay_volume,7455,1.0,0.3317126376002291,0.3315525221251134,0.3687600644122383,0.40602836879432624,0.03049781768102403,0.015259331653393394,0.02091327601618447,0.22930688566395632,-0.019407864065256554,non_overlapping,0.37853789403085175,0.45222929936305734,0.4326755658734765,0.5
other,5,logistic_decay_market,142696,1.0,0.37983559388337257,0.3700639386127862,0.3875239871347874,0.27064064328589227,0.00941720836114204,0.002192253359188207,0.0030805935906587276,,,overlapping,0.386619106351965,0.43750090894547783,0.4908945530498352,1.0
other,5,majority_baseline,142696,1.0,0.3333333333333333,0.20028957371219772,0.0,0.0,,,0.004493644237512998,,,overlapping,0.42945842910803383,0.42945842910803383,1.0,0.0
other,5,ridge_current,142696,1.0,0.3571805916278377,0.19238417484508955,0.3828996282527881,0.019442032541809807,0.012991340631352353,0.003846204067846227,0.008025666740941849,0.04353733753288569,-0.011017075022417272,overlapping,0.24490525312552558,0.4600776866637894,0.12176495545184557,
other,5,ridge_decay_market,142696,1.0,0.3611644618136664,0.21272367981310525,0.3798043326345213,0.041035901695043224,0.013779944542959862,0.0036086027566444284,0.00724585195617164,0.04370584296721692,-0.013754893909469938,overlapping,0.25514380220889166,0.45765428800427466,0.13976371528344375,1.0
other,5,ridge_decay_only,142696,1.0,0.35936232886975156,0.20515819006759442,0.3614895549500454,0.030050209520933218,0.019377292822302154,0.0035011296197743694,0.00738276018970502,0.0436648775464511,-0.01590582148119756,overlapping,0.2515347311767674,0.4543683013965573,0.136973336379361,1.0
other,5,ridge_decay_volume,142696,1.0,0.36036698477345636,0.20868830820178,0.3705115346038114,0.03486352825701235,0.014217569595617879,0.0033568649578096365,0.00921957752573177,0.043665808794335514,-0.011512279414786468,overlapping,0.25329371531087064,0.4601280243029185,0.13840932084461996,0.75
other,5,logistic_decay_market,28615,1.0,0.3774079678433592,0.36826978513320424,0.3921620901093042,0.27614041674488454,0.010436167283207237,0.002263601553791208,0.00262358377994662,,,non_overlapping,0.3848680761838197,0.4354426684183636,0.48626619936425136,1.0
other,5,majority_baseline,28615,1.0,0.3333333333333333,0.20006196393046993,0.0,0.0,,,0.0045785658935652545,,,non_overlapping,0.4287611392626245,0.4287611392626245,1.0,0.0
other,5,ridge_current,28615,1.0,0.3597186857939312,0.19496548687605034,0.42778793418647165,0.02196358175333208,0.01036358197368742,0.0042239113379900824,0.006297206076938809,0.044012226862617784,-0.006693554113174212,non_overlapping,0.2467586929931854,0.46106870229007635,0.12307441519276224,
other,5,ridge_decay_market,28615,1.0,0.36449983335787617,0.215914622835333,0.4038950042337002,0.04477191665102309,0.014395361542013775,0.003833358780957783,0.006205477855322743,0.04420146227060231,-0.009216188151587585,non_overlapping,0.2575572252315219,0.4618064861967301,0.14043524329611215,0.75
other,5,ridge_decay_only,28615,1.0,0.361500287990873,0.20706567115513927,0.36921420882669537,0.032194480946123524,0.017298186630608895,0.003956018891066996,0.005412430782078343,0.0441995979941129,-0.01895631030333248,non_overlapping,0.2528743665909488,0.4528352593388874,0.13733800635748636,0.5
other,5,ridge_decay_volume,28615,1.0,0.3621662627155791,0.20929574610469728,0.37123420796890183,0.0358550779050122,0.01614479500058558,0.003528528717641582,0.008177037511950083,0.044209726562438004,-0.014130536896321093,non_overlapping,0.2538878210728639,0.4587305911195859,0.13725650012225935,0.5
