sample_count,coverage,event_rate,signal_rate,precision,recall,specificity,balanced_accuracy,roc_auc,pr_auc,brier_score,mean_mae_when_signaled,scope,horizon,regime_scope,sample_mode,specification,comparable_fold_count,fold_win_rate_vs_ridge_down
4195,1.0,0.4572109654350417,0.053873659117997616,0.6769911504424779,0.07977059436913451,0.9679402722880984,0.5238554333286165,0.5238554333286165,0.47474296142364325,0.43814064362336114,-0.13336053465282324,other,5,acute_selloff,overlapping,general_logistic_down,4,1.0
4195,1.0,0.4572109654350417,0.0,,0.0,1.0,0.5,0.5,0.4572109654350417,0.4572109654350417,,other,5,acute_selloff,overlapping,negative_baseline,4,1.0
4195,1.0,0.4572109654350417,0.5158522050059595,0.5388170055452866,0.607924921793535,0.5617039964866052,0.5848144591400701,0.6099733335531494,0.5897610689896837,0.25286682762126206,-0.09065866432221133,other,5,acute_selloff,overlapping,pressure_downside_logistic_v1,4,1.0
4195,1.0,0.4572109654350417,0.24481525625744935,0.29600778967867575,0.15849843587069865,0.6824769433465085,0.4204876896086036,0.4204876896086036,0.43166051422026835,0.5570917759237187,-0.04544738115012692,other,5,acute_selloff,overlapping,ridge_down,0,
21984,1.0,0.34306768558951967,0.13546215429403202,0.42276695768972467,0.16693184831609653,0.8809721645201496,0.5239520064181231,0.523952006418123,0.35637203239065435,0.3639919941775837,-0.0585059475045198,other,5,correction,overlapping,general_logistic_down,4,1.0
21984,1.0,0.34306768558951967,0.0,,0.0,1.0,0.5,0.5,0.34306768558951967,0.34306768558951967,,other,5,correction,overlapping,negative_baseline,4,0.75
21984,1.0,0.34306768558951967,0.3478438864628821,0.5054269648228064,0.5124635375232034,0.738124913446891,0.6252942254850472,0.66706692716972,0.5157658019081428,0.22559326940686034,-0.0714328612503603,other,5,correction,overlapping,pressure_downside_logistic_v1,4,1.0
21984,1.0,0.34306768558951967,0.337245269286754,0.30240086323172377,0.2972686290108724,0.6418778562525966,0.4695732426317345,0.4695732426317345,0.33097871506098897,0.47634643377001457,-0.04377893637509582,other,5,correction,overlapping,ridge_down,0,
31080,1.0,0.26634491634491636,0.1361003861003861,0.3997635933806147,0.20427639526455665,0.8886501184106658,0.5464632568376112,0.5464632568376113,0.29359920275073487,0.2936293436293436,-0.055065659446621326,other,5,under_pressure,overlapping,general_logistic_down,4,1.0
31080,1.0,0.26634491634491636,0.0,,0.0,1.0,0.5,0.5,0.26634491634491636,0.26634491634491636,,other,5,under_pressure,overlapping,negative_baseline,4,1.0
31080,1.0,0.26634491634491636,0.24305019305019304,0.48993910510987554,0.4470886687605702,0.831023594421542,0.6390561315910561,0.7050922943713329,0.4742341679848489,0.20099192383240597,-0.0654668448420092,other,5,under_pressure,overlapping,pressure_downside_logistic_v1,4,1.0
31080,1.0,0.26634491634491636,0.2675997425997426,0.21341829986774077,0.2144237738584199,0.7130953425138146,0.46375955818611725,0.4637595581861172,0.2549961915023231,0.4197232947232947,-0.03410405779793216,other,5,under_pressure,overlapping,ridge_down,0,
30346,1.0,0.3601463125288341,0.14871811770908852,0.44427210281409263,0.18345685790099733,0.8708348354534686,0.527145846677233,0.527145846677233,0.3755797656830059,0.3767218084755816,-0.06352398703233852,all,5,all_pressure,non_overlapping,general_logistic_down,4,1.0
30346,1.0,0.3601463125288341,0.0,,0.0,1.0,0.5,0.5,0.3601463125288341,0.3601463125288341,,all,5,all_pressure,non_overlapping,negative_baseline,4,1.0
30346,1.0,0.3601463125288341,0.42582218414288536,0.52329360780065,0.6187208344770794,0.682752227429572,0.6507365309533257,0.7044102822078295,0.5632962152093443,0.22381415849181893,-0.07094109991311356,all,5,all_pressure,non_overlapping,pressure_downside_logistic_v1,4,1.0
30346,1.0,0.3601463125288341,0.2478086073947143,0.31077127659574466,0.21383475157836948,0.7330689601895246,0.47345185588394706,0.473451855883947,0.3495882139859089,0.4539313253806103,-0.0442207975842111,all,5,all_pressure,non_overlapping,ridge_down,0,
1641,1.0,0.5051797684338818,0.054844606946983544,0.6111111111111112,0.06634499396863691,0.9568965517241379,0.5116207728463874,0.5116207728463874,0.5122077827248922,0.49299207800121875,-0.10322544294650597,all,5,acute_selloff,non_overlapping,general_logistic_down,2,1.0
1641,1.0,0.5051797684338818,0.0,,0.0,1.0,0.5,0.5,0.5051797684338818,0.5051797684338818,,all,5,acute_selloff,non_overlapping,negative_baseline,2,0.5
1641,1.0,0.5051797684338818,0.5679463741620963,0.5901287553648069,0.6634499396863691,0.5295566502463054,0.5965032949663372,0.6355110614604812,0.6466731285812138,0.24240520931923878,-0.08380944583141603,all,5,acute_selloff,non_overlapping,pressure_downside_logistic_v1,2,1.0
1641,1.0,0.5051797684338818,0.1907373552711761,0.41533546325878595,0.15681544028950542,0.7746305418719212,0.4657229910807133,0.4657229910807133,0.4910907941603444,0.5374771480804388,-0.05378584941580043,all,5,acute_selloff,non_overlapping,ridge_down,0,
12043,1.0,0.3854521298679731,0.13302333305654737,0.43258426966292135,0.14928909952606634,0.8771787596270775,0.5132339295765719,0.5132339295765719,0.3924884445766976,0.4033878601677323,-0.06063808206748545,all,5,correction,non_overlapping,general_logistic_down,4,0.75
12043,1.0,0.3854521298679731,0.0,,0.0,1.0,0.5,0.5,0.3854521298679731,0.3854521298679731,,all,5,correction,non_overlapping,negative_baseline,4,0.5
12043,1.0,0.3854521298679731,0.4811923939217803,0.5106125970664366,0.6374407582938388,0.6168085393865694,0.6271246488402041,0.6741692917238555,0.546512466701631,0.23687304276693708,-0.07041533168714798,all,5,correction,non_overlapping,pressure_downside_logistic_v1,4,1.0
12043,1.0,0.3854521298679731,0.2750145312629743,0.37620772946859904,0.2684187850064627,0.7208485339818943,0.4946336594941785,0.4946336594941786,0.38297075914465983,0.4535414763763182,-0.05218596848906802,all,5,correction,non_overlapping,ridge_down,0,
